ticket_id,ticket,category,priority
1,I am contacting support because money was deducted but my order was not confirmed Please let me know what I need to do.,Payment Issue,Medium
2,I am contacting support because i cannot complete the checkout because of an error This is urgent.,Technical Issue,Medium
3,I need support with this: the payment was rejected even though i have enough balance I need an update.,Payment Issue,High
4,I am having trouble because I need help with a failed payment Can you check this for me?,Payment Issue,High
5,I need support with this: The item in my order is incorrect Please help me.,Order Issue,Low
6,I get an error when uploading a file,Technical Issue,Medium
7,"Please help me, why was i charged for the subscription? What should I do?",Subscription,Low
8,I need assistance because Can I downgrade my subscription? Please resolve this.,Subscription,Low
9,I need assistance because i placed the wrong order and need help Please resolve this.,Order Issue,Medium
10,"Please help me, When will my order be delivered? This is urgent.",Delivery,High
11,Could you please help? My subscription payment failed I need an update.,Subscription,Medium
12,I am having trouble because My card payment was declined What should I do?,Payment Issue,Medium
13,"Please help me, The mobile app keeps freezing Please let me know what I need to do.",Technical Issue,High
14,Can you help? my refund is still pending Can you check this for me?,Refund,Medium
15,I am contacting support because I need help with my subscription I need an update.,Subscription,Low
16,"Please help me, Where is my order? What should I do?",Delivery,Low
17,I need assistance because The refund amount is missing from my account I need an update.,Refund,Medium
18,Please help me recover my account Please resolve this.,Account Issue,Low
19,"Please help me, when will my order be delivered? Please let me know what I need to do.",Delivery,High
20,I am having trouble because I cannot log into my account Please help me.,Account Issue,High
21,I need assistance because I cannot complete the checkout because of an error What should I do?,Technical Issue,High
22,Can you help? I forgot my password I need an update.,Account Issue,Low
23,I need assistance because The payment page shows an error What should I do?,Payment Issue,High
24,Can you help? please provide an update on my delivery This is urgent.,Delivery,High
25,I am contacting support because Please process my refund Can you check this for me?,Refund,Medium
26,I need support with this: i am seeing an error message,Technical Issue,High
27,I need support with this: i am unable to sign in Please help me.,Account Issue,Medium
28,I am contacting support because when will my order be delivered?,Delivery,Medium
29,I am having trouble because How long will my refund take? Please let me know what I need to do.,Refund,Medium
30,I am having trouble because the product is damaged and i want a refund This is urgent.,Refund,Medium
31,I need assistance because My payment failed while placing the order This is urgent.,Payment Issue,Medium
32,I am contacting support because my order contains the wrong item Please let me know what I need to do.,Order Issue,Medium
33,I am having trouble because Money was deducted but my order was not confirmed Please resolve this.,Payment Issue,Medium
34,"Please help me, Can you tell me the delivery status? Can you check this for me?",Delivery,Medium
35,I am having trouble because I cannot reset my password Can you check this for me?,Account Issue,Low
36,I need support with this: The payment was rejected even though I have enough balance Please resolve this.,Payment Issue,Medium
37,Could you please help? money was deducted but my order was not confirmed What should I do?,Payment Issue,High
38,I am having trouble because My payment failed while placing the order Please help me.,Payment Issue,High
